Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,46171,325,DALBHARAT,DALBHARAT30SEP25P3320,30-SEP-2025,OPTSTK,PE,3320,0.05,
NFO,46170,325,DALBHARAT,DALBHARAT30SEP25C3320,30-SEP-2025,OPTSTK,CE,3320,0.05,
NFO,46169,2700,NCC,NCC28OCT25P310,28-OCT-2025,OPTSTK,PE,310,0.05,
NFO,46168,2700,NCC,NCC28OCT25C310,28-OCT-2025,OPTSTK,CE,310,0.05,
NFO,46167,1800,CROMPTON,CROMPTON30SEP25P435,30-SEP-2025,OPTSTK,PE,435,0.05,
NFO,46166,1800,CROMPTON,CROMPTON30SEP25C435,30-SEP-2025,OPTSTK,CE,435,0.05,
NFO,46165,2700,NCC,NCC30SEP25P310,30-SEP-2025,OPTSTK,PE,310,0.05,
NFO,46164,2700,NCC,NCC30SEP25C310,30-SEP-2025,OPTSTK,CE,310,0.05,
NFO,46163,225,COLPAL,COLPAL28OCT25P3000,28-OCT-2025,OPTSTK,PE,3000,0.05,
NFO,46162,225,COLPAL,COLPAL28OCT25C3000,28-OCT-2025,OPTSTK,CE,3000,0.05,
NFO,46161,225,COLPAL,COLPAL30SEP25P3360,30-SEP-2025,OPTSTK,PE,3360,0.05,
NFO,46160,225,COLPAL,COLPAL30SEP25C3360,30-SEP-2025,OPTSTK,CE,3360,0.05,
NFO,46159,6500,NBCC,NBCC28OCT25P147.5,28-OCT-2025,OPTSTK,PE,147.5,0.05,
NFO,46158,6500,NBCC,NBCC28OCT25C147.5,28-OCT-2025,OPTSTK,CE,147.5,0.05,
NFO,46157,6500,NBCC,NBCC30SEP25P147.5,30-SEP-2025,OPTSTK,PE,147.5,0.05,
NFO,46156,6500,NBCC,NBCC30SEP25C147.5,30-SEP-2025,OPTSTK,CE,147.5,0.05,
NFO,46155,275,MUTHOOTFIN,MUTHOOTFIN25NOV25P3900,25-NOV-2025,OPTSTK,PE,3900,0.05,
NFO,46154,275,MUTHOOTFIN,MUTHOOTFIN25NOV25C3900,25-NOV-2025,OPTSTK,CE,3900,0.05,
NFO,46153,275,MUTHOOTFIN,MUTHOOTFIN28OCT25P4200,28-OCT-2025,OPTSTK,PE,4200,0.05,
NFO,46152,275,MUTHOOTFIN,MUTHOOTFIN28OCT25C4200,28-OCT-2025,OPTSTK,CE,4200,0.05,
