Index,Current_Expiry,Next_Expiry,Calculated_Date
SENSEX,25-Sep-2025,01-Oct-2025,2025-09-21
NIFTY,23-Sep-2025,30-Sep-2025,2025-09-21
BANKNIFTY,30-Sep-2025,28-Oct-2025,2025-09-21
